163047,8.3
163048,8.3
163049,8.3
163050,8.3
163051,8.3
163053,8.3
163054,8.3
163055,8.3
163056,8.3
163057,8.3
163059,8.3
163100,8.3
163101,8.3
163102,8.3
163103,8.3
163105,8.3
163106,8.3
163107,8.3
163108,8.3
163109,8.3
163110,8.3
163112,8.3
163113,8.3
163114,8.3
163115,8.3
163116,8.3
163117,8.3
163119,8.3
163120,8.3
163121,8.3
163122,8.3
163123,8.3
163125,8.3
163126,8.3
163127,8.3
163128,8.3
163129,8.3
163130,8.3
163132,8.3
163133,8.3
163134,8.3
163135,8.3
163136,8.3
163137,8.3
163139,8.3
163140,8.3
163141,8.3
163142,8.3
163143,8.3
163145,8.3
163146,8.3
163147,8.3
163148,8.3
163149,8.3
163150,8.3
